"","Trial","correct","faceVal","houseVal","mult1House","mult2Face","summedVal","earnings","selection","rt","flip","participant","subject","finalEarnings","accuracy"
"4",1,1,-0.16,-0.26,1,1,-0.42,0,"['j']",6.00420552351716,NA,1,1,-21.36,0.5
"5",2,0,-0.16,-0.5,1,1,-0.66,-0.66,"['f']",3.65836468622001,NA,1,1,-21.36,0.5
"6",3,0,1,-0.06,1,1,0.94,-1.6,"['j']",2.09429662866751,NA,1,1,-21.36,0.5
"7",4,1,-0.9,0.94,1,1,0.04,-1.56,"['f']",1.4697008210278,NA,1,1,-21.36,0.5
"8",5,1,0.16,-0.46,1,1,-0.3,-1.56,"['j']",3.12844859237521,NA,1,1,-21.36,0.5
"9",6,1,0.88,-0.28,1,1,0.6,-0.96,"['f']",7.66718435738585,NA,1,1,-21.36,0.5
"10",7,1,-0.72,-0.38,1,1,-1.1,-0.96,"['j']",4.20932702610298,NA,1,1,-21.36,0.5
"11",8,1,0.98,-0.26,1,1,0.72,-0.24,"['f']",4.6937458273751,NA,1,1,-21.36,0.5
"12",9,1,0.1,-0.36,1,1,-0.26,-0.24,"['j']",3.33612579854525,NA,1,1,-21.36,0.5
"13",10,0,0.82,-0.96,1,1,-0.14,-0.38,"['f']",3.14694364171737,NA,1,1,-21.36,0.5
"14",11,0,-0.18,0.44,1,1,0.26,-0.64,"['j']",2.83398262505943,NA,1,1,-21.36,0.5
"15",12,0,-0.74,0.54,1,1,-0.2,-0.84,"['f']",3.60980782046681,NA,1,1,-21.36,0.5
"16",13,1,0.22,0.9,1,1,1.12,0.28,"['f']",2.39675029640057,NA,1,1,-21.36,0.5
"17",14,0,0.14,0.68,1,1,0.82,-0.54,"['j']",1.99334934178478,NA,1,1,-21.36,0.5
"18",15,1,0.98,0.8,1,1,1.78,1.24,"['f']",2.50980307321879,NA,1,1,-21.36,0.5
"19",16,1,-0.84,-0.64,1,1,-1.48,1.24,"['j']",2.46257543771935,NA,1,1,-21.36,0.5
