"","Trial","correct","faceVal","houseVal","mult1House","mult2Face","summedVal","earnings","flip","selection","rt","participant","subject","finalEarnings","accuracy"
"106",1,0,-0.78,0.88,2,3,-0.58,-21.94,1,"['f']",4.1214010279291,1,1,-38.14,0.553333333333333
"107",2,0,-0.68,0.78,3,1,1.66,-23.6,2,"['j']",4.17096623382531,1,1,-38.14,0.553333333333333
"108",3,1,-0.24,0.44,1,3,-0.28,-23.6,1,"['j']",2.70343712987233,1,1,-38.14,0.553333333333333
"109",4,1,0.36,-0.76,1,3,0.32,-23.28,1,"['f']",3.50456547330396,1,1,-38.14,0.553333333333333
"110",5,0,0.74,0,1,3,2.22,-25.5,2,"['j']",3.05353997695784,1,1,-38.14,0.553333333333333
"111",6,1,-0.68,0.48,2,1,0.28,-25.22,1,"['f']",2.18611086573947,1,1,-38.14,0.553333333333333
"112",7,1,0.86,-0.66,2,1,-0.46,-25.22,1,"['j']",9.9434629453026,1,1,-38.14,0.553333333333333
"113",8,0,-0.44,0.64,1,2,-0.24,-25.46,1,"['f']",3.70432588736003,1,1,-38.14,0.553333333333333
"114",9,0,0.36,-0.32,1,1,0.04,-25.5,2,"['j']",2.28623279196472,1,1,-38.14,0.553333333333333
"115",10,1,-0.46,0.36,3,2,0.16,-25.34,1,"['f']",4.67173631003971,1,1,-38.14,0.553333333333333
"116",11,1,-0.54,-0.46,1,1,-1,-25.34,3,"['j']",7.59093779839168,1,1,-38.14,0.553333333333333
"117",12,1,-0.56,0.36,2,1,0.16,-25.18,1,"['f']",3.70400710044487,1,1,-38.14,0.553333333333333
"118",13,0,0.24,0.56,1,1,0.8,-25.98,2,"['j']",3.90494651530753,1,1,-38.14,0.553333333333333
"119",14,1,0.94,0.82,1,1,1.76,-24.22,3,"['f']",2.53629303398338,1,1,-38.14,0.553333333333333
"120",15,0,0.28,-0.6,1,3,0.24,-24.46,1,"['j']",2.82026367072831,1,1,-38.14,0.553333333333333
"121",16,0,-0.82,0.72,3,2,0.52,-24.98,1,"['j']",3.05360307333467,1,1,-38.14,0.553333333333333
"122",17,1,-0.88,0.22,1,1,-0.66,-24.98,2,"['j']",4.73849587859877,1,1,-38.14,0.553333333333333
"123",18,1,0.92,0.62,1,2,2.46,-22.52,2,"['f']",1.88574298383173,1,1,-38.14,0.553333333333333
"124",19,0,0.44,0.04,1,1,0.48,-23,2,"['j']",1.81897500241757,1,1,-38.14,0.553333333333333
"125",20,1,-0.44,0.34,3,2,0.14,-22.86,1,"['f']",2.13665232275525,1,1,-38.14,0.553333333333333
"126",21,0,0.2,-0.54,1,1,-0.34,-23.2,2,"['f']",4.10463572059962,1,1,-38.14,0.553333333333333
"127",22,1,0.72,-0.62,3,2,-0.42,-23.2,1,"['j']",4.93859130435885,1,1,-38.14,0.553333333333333
"128",23,0,0.44,-0.24,3,1,-0.28,-23.48,1,"['f']",3.12034761895484,1,1,-38.14,0.553333333333333
"129",24,1,-0.34,0.86,1,1,0.52,-22.96,2,"['f']",3.85392859052808,1,1,-38.14,0.553333333333333
"130",25,1,0.24,0.98,1,2,1.46,-21.5,2,"['f']",4.92177461855317,1,1,-38.14,0.553333333333333
"131",26,1,-0.24,-0.88,1,2,-1.36,-21.5,3,"['j']",4.58901065487589,1,1,-38.14,0.553333333333333
"132",27,1,-1,0.04,1,1,-0.96,-21.5,3,"['j']",2.06902623066708,1,1,-38.14,0.553333333333333
"133",28,1,-0.18,-0.66,1,1,-0.84,-21.5,2,"['j']",2.35288389486232,1,1,-38.14,0.553333333333333
"134",29,0,0.24,-0.2,1,2,0.28,-21.78,3,"['j']",7.19083227722149,1,1,-38.14,0.553333333333333
"135",30,0,-0.36,-0.82,3,1,-2.82,-24.6,2,"['f']",1.78576197283837,1,1,-38.14,0.553333333333333
"136",31,0,0.1,0.5,1,1,0.6,-25.2,3,"['j']",1.68549582632113,1,1,-38.14,0.553333333333333
"137",32,1,0.76,-0.64,1,1,0.12,-25.08,3,"['f']",5.53923783186474,1,1,-38.14,0.553333333333333
"138",33,1,0.34,-0.44,2,3,0.14,-24.94,1,"['f']",2.68621061809972,1,1,-38.14,0.553333333333333
"139",34,1,0.32,-0.22,3,2,-0.02,-24.94,1,"['j']",1.51867772836704,1,1,-38.14,0.553333333333333
"140",35,1,-0.6,0.28,3,1,0.24,-24.7,1,"['f']",3.65386501341709,1,1,-38.14,0.553333333333333
"141",36,1,-0.26,-0.02,1,2,-0.54,-24.7,3,"['j']",3.11982752455515,1,1,-38.14,0.553333333333333
"142",37,1,0.4,-0.42,1,1,-0.02,-24.7,2,"['j']",3.28699595762737,1,1,-38.14,0.553333333333333
"143",38,0,-0.12,-0.16,2,1,-0.44,-25.14,3,"['f']",2.90336009220482,1,1,-38.14,0.553333333333333
"144",39,1,0.98,0.66,1,2,2.62,-22.52,2,"['f']",3.8543690633087,1,1,-38.14,0.553333333333333
"145",40,1,-0.72,0.82,2,3,-0.52,-22.52,1,"['j']",1.93574415562762,1,1,-38.14,0.553333333333333
"146",41,1,0.28,-0.6,1,3,0.24,-22.28,1,"['f']",1.56875792085339,1,1,-38.14,0.553333333333333
"147",42,1,-1,0.28,1,1,-0.72,-22.28,2,"['j']",1.20147423174058,1,1,-38.14,0.553333333333333
"148",43,1,0.66,-0.34,1,1,0.32,-21.96,2,"['f']",2.4362660527695,1,1,-38.14,0.553333333333333
"149",44,1,0.6,-0.44,1,1,0.16,-21.8,2,"['f']",1.23517009880743,1,1,-38.14,0.553333333333333
"150",45,0,0.44,0.72,1,2,1.6,-23.4,3,"['j']",2.68649905866187,1,1,-38.14,0.553333333333333
"151",46,0,0.38,-0.7,3,1,-1.72,-25.12,3,"['f']",4.30506856171996,1,1,-38.14,0.553333333333333
"152",47,0,0.04,-0.36,2,1,-0.68,-25.8,3,"['f']",2.7863920351956,1,1,-38.14,0.553333333333333
"153",48,1,-0.94,0.8,2,1,0.66,-25.14,3,"['f']",1.3188926766743,1,1,-38.14,0.553333333333333
"154",49,0,-0.64,0,1,1,-0.64,-25.78,2,"['f']",1.95242022664752,1,1,-38.14,0.553333333333333
"155",50,1,0.46,0.24,3,1,1.18,-24.6,2,"['f']",1.58554185663525,1,1,-38.14,0.553333333333333
"156",51,0,0.52,-0.12,1,1,0.4,-25,2,"['j']",1.41852605669555,1,1,-38.14,0.553333333333333
"157",52,1,0.26,-0.56,1,3,0.22,-24.78,1,"['f']",4.10436110114824,1,1,-38.14,0.553333333333333
"158",53,1,-0.56,0.26,3,1,0.22,-24.56,1,"['f']",4.02125867049472,1,1,-38.14,0.553333333333333
"159",54,0,0.34,-0.44,2,3,0.14,-24.7,1,"['j']",2.90337000734871,1,1,-38.14,0.553333333333333
"160",55,1,-0.68,0.48,2,1,0.28,-24.42,1,"['f']",2.65290534762607,1,1,-38.14,0.553333333333333
"161",56,0,0.94,0.38,1,1,1.32,-25.74,2,"['j']",1.51841242313822,1,1,-38.14,0.553333333333333
