"","Trial","correct","faceVal","houseVal","mult1House","mult2Face","summedVal","earnings","selection","rt","subject","finalEarnings","accuracy"
"4",1,1,-0.62,-0.82,1,1,-1.44,0,"['j']",8.15038772476692,1,32.88,0.87
"5",2,0,0.22,-0.94,1,1,-0.72,-0.72,"['f']",8.95017035696947,1,32.88,0.87
"6",3,1,0.24,-0.92,1,1,-0.68,-0.72,"['j']",1.4668638738749,1,32.88,0.87
"7",4,0,0.04,0.08,1,1,0.12,-0.84,"['j']",3.78368348609547,1,32.88,0.87
"8",5,1,0.6,0.3,1,1,0.9,0.06,"['f']",2.4835146869882,1,32.88,0.87
"9",6,1,0.98,0.92,1,1,1.9,1.96,"['f']",2.0170532917673,1,32.88,0.87
"10",7,1,0.94,-0.58,1,1,0.36,2.32,"['f']",1.78352623350656,1,32.88,0.87
"11",8,1,-0.42,-0.06,1,1,-0.48,2.32,"['j']",2.26689906326646,1,32.88,0.87
"12",9,0,0.38,-0.1,1,1,0.28,2.04,"['j']",4.33351367895921,1,32.88,0.87
"13",10,1,-0.04,0.94,1,1,0.9,2.94,"['f']",8.58369411622334,1,32.88,0.87
"14",11,1,1,-0.78,1,1,0.22,3.16,"['f']",3.15018281987977,1,32.88,0.87
"15",12,1,0.28,-0.98,1,1,-0.7,3.16,"['j']",2.45018336971407,1,32.88,0.87
"16",13,1,-0.22,-0.74,1,1,-0.96,3.16,"['j']",2.18337337959201,1,32.88,0.87
"17",14,1,-0.44,0.98,1,1,0.54,3.7,"['f']",3.63373562870765,1,32.88,0.87
"18",15,1,-1,0.16,1,1,-0.84,3.7,"['j']",1.90018712691381,1,32.88,0.87
"19",16,1,-0.8,-0.9,1,1,-1.7,3.7,"['j']",0.866864240431823,1,32.88,0.87
"20",17,1,-0.4,-0.32,1,1,-0.72,3.7,"['j']",1.2501764051467,1,32.88,0.87
"21",18,1,-0.06,-0.6,1,1,-0.66,3.7,"['j']",2.08374195180113,1,32.88,0.87
"22",19,1,-0.46,-0.8,1,1,-1.26,3.7,"['j']",0.683577001535014,1,32.88,0.87
"23",20,1,-0.16,0.8,1,1,0.64,4.34,"['f']",1.28373572034798,1,32.88,0.87
"24",21,1,0.84,-0.54,1,1,0.3,4.64,"['f']",1.10039349802719,1,32.88,0.87
"25",22,1,-0.76,0.6,1,1,-0.16,4.64,"['j']",2.2501628425689,1,32.88,0.87
"26",23,0,0.18,0.2,1,1,0.38,4.26,"['j']",1.96703743821308,1,32.88,0.87
"27",24,1,-0.02,0.82,1,1,0.8,5.06,"['f']",4.33351331240192,1,32.88,0.87
