,choice,correct,earnings,face_mult,face_val_base,first_image,house_mult,house_val_base,image_list,key_entry_list,last_image,num_fixations,participant,round_num,rt,rt_list,summed_val,trial,face_val_total,house_val_total
0,0.0,1.0,0.0,0.5,-0.16,1.0,10.0,-0.72,[1],['j'],1.0,1.0,124,0.0,5.9167684478,[5.916768447801587],-7.28,1.0,-0.08,-7.2
1,1.0,0.0,-0.44,1.0,0.06,0.0,1.0,-0.5,[0],['f'],0.0,1.0,124,0.0,4.25012462995,[4.250124629950733],-0.44,2.0,0.06,-0.5
2,0.0,1.0,-0.44,10.0,0.1,1.0,3.0,-0.44,[1],['j'],1.0,1.0,124,0.0,2.666766615,[2.666766615002416],-0.32,3.0,1.0,-1.32
3,0.0,0.0,-0.69,0.5,-0.2,0.0,0.5,0.7,[0],['j'],0.0,1.0,124,0.0,7.28362846197,[7.2836284619697835],0.25,4.0,-0.1,0.35
4,0.0,0.0,-9.87,1.0,0.58,1.0,10.0,0.86,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'j']",1.0,11.0,124,0.0,37.6502828367,"[8.983630221453495, 9.433483158092713, 9.90027147337969, 20.616855248910724, 22.883683225838467, 24.35036963780294, 28.03356871289725, 28.683704926108476, 29.367038894808502, 33.8837459073693, 37.650282836693805]",9.18,5.0,0.58,8.6
5,1.0,0.0,-11.13,1.0,-0.62,1.0,1.0,-0.64,"[1, 0, 1, 0, 1]","['space', 'space', 'space', 'space', 'f']",1.0,5.0,124,0.0,13.583514169,"[1.1336055153806228, 6.000294346638839, 9.000338333673426, 10.033486237181933, 13.583514168960392]",-1.26,6.0,-0.62,-0.64
6,0.0,0.0,-11.16,0.1,0.02,1.0,0.1,0.28,"[1, 0, 1, 0, 1, 0, 1, 0]","['space', 'space', 'space', 'space', 'space', 'space', 'space', 'j']",0.0,8.0,124,0.0,33.7670728381,"[7.650269640580518, 10.466798212364665, 21.15016700414708, 24.517011622840073, 25.550331808932242, 29.967037575188442, 32.25023056541977, 33.76707283813448]",0.03,7.0,0.002,0.028
7,1.0,1.0,-10.6,1.0,0.22,1.0,1.0,0.34,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]","['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'f']",0.0,12.0,124,0.0,19.7335085239,"[5.233460138202645, 6.016799385353806, 7.0836171719565755, 7.633471354900394, 8.03363176099083, 8.96680957567878, 10.150129248591838, 11.833641364821233, 14.067003998410655, 15.03350309887901, 18.5335038320045, 19.73350852394651]",0.56,8.0,0.22,0.34
8,0.0,1.0,-10.6,3.0,-0.26,1.0,0.5,-0.96,"[1, 0, 1, 0]","['space', 'space', 'space', 'j']",0.0,4.0,124,0.0,16.7668518032,"[6.300291487481445, 7.8168075229623355, 10.466951433903887, 16.766851803244208]",-1.26,9.0,-0.78,-0.48
9,0.0,1.0,-10.6,2.0,-0.38,1.0,0.5,-0.72,"[1, 0, 1]","['space', 'space', 'j']",1.0,3.0,124,0.0,6.28361599897,"[3.2501183984568343, 4.91693999725976, 6.283615998967434]",-1.12,10.0,-0.76,-0.36
