,correct,earnings,face_mult,face_val,first_image,house_mult,house_val,image_list,key_entry_list,last_image,num_fixations,participant,round_num,rt,rt_list,summed_val,trial
0,1.0,0.0,1.0,-0.75,1.0,1.0,-0.75,"[1, 0]","['space', 'j']",0.0,2.0,116,0.0,5.23894867846,"[2.2191881745857245, 5.238948678456836]",-1.5,1.0
1,1.0,0.0,3.0,0.0,0.0,1.0,-0.25,"[0, 1]","['space', 'j']",1.0,2.0,116,0.0,2.36971185828,"[1.084677872478096, 2.3697118582849725]",-0.25,2.0
2,1.0,0.0,1.0,0.5,1.0,2.0,-1.0,"[1, 0]","['space', 'j']",0.0,2.0,116,0.0,2.93691788301,"[1.919017569499374, 2.936917883006572]",-1.5,3.0
3,1.0,1.25,1.0,0.75,0.0,1.0,0.5,"[0, 1]","['space', 'f']",1.0,2.0,116,0.0,3.72053937408,"[2.519347662398104, 3.7205393740796353]",1.25,4.0
4,1.0,1.25,2.0,-0.75,0.0,2.0,0.0,"[0, 1]","['space', 'j']",1.0,2.0,116,0.0,4.12157850869,"[2.3693458896432276, 4.12157850868698]",-1.5,5.0
5,1.0,2.0,1.0,0.75,0.0,1.0,0.0,"[0, 1]","['space', 'f']",1.0,2.0,116,0.0,2.56982879999,"[1.1351250573134166, 2.569828799989409]",0.75,6.0
6,1.0,3.25,1.0,0.75,0.0,1.0,0.5,"[0, 1]","['space', 'f']",1.0,2.0,116,0.0,1.83604214228,"[0.7517245295739485, 1.8360421422812578]",1.25,7.0
7,1.0,4.25,1.0,0.25,0.0,1.0,0.75,"[0, 1]","['space', 'f']",1.0,2.0,116,0.0,5.35532550477,"[3.6704199985933883, 5.355325504769098]",1.0,8.0
8,1.0,7.25,3.0,1.0,1.0,1.0,0.0,"[1, 0]","['space', 'f']",0.0,2.0,116,0.0,2.0858139377,"[1.1345866206911523, 2.0858139376960025]",3.0,9.0
9,1.0,8.0,2.0,0.0,1.0,1.0,0.75,"[1, 0]","['space', 'f']",0.0,2.0,116,0.0,2.78626740229,"[1.7186494374955146, 2.7862674022899228]",0.75,10.0
