subject,effort_level,difficulty_level,guessing_frequency,self_comparison_performance,self_comparison_decisions,decision_regret_frequency,gpa,payment_belief,gender,ethnicity,religion,practicing_religion,first_language,age,childhood_environment,political_orientation,sexual_orientation,parents_marital_status, BFI_extraversion,BFI_agreeableness,BFI_Conscientiounsness ,BFI_Neuroticism,BFI_openess,BIS_attentional_2nd_order,BIS_attentional,BIS_cognitive_instability,BIS_motor_2nd_order,BIS_motor,BIS_perseverance,BIS_nonplanning_2nd_order,BIS_self_control,BIS_cognitive_complexity,BIS_total_score,REI_rational_ability,REI_rational_engagement,REI_experiential_ability,REI_experiential_engagement,General_Numeracy_scale_correct,Expanded_Numeracy_scale_correct,Numeracy_total_correct,gng_error_rate,gng_error_rate_go_target,gng_error_rate_nogo_target,gng_error_vertical_cue,gng_error_horizontal_cue,gng_omission_error_v,gng_inhibition_error_v,gng_omission_error_h,gng_inhibition_error_h,gng_mean_rt,gng_mean_rt_vertical_cue_go_target,gng_mean_rt_horizontal_cue_go_target,nBack_values_total_hits,nBack_values_total_FA,nBack_values_DV
106,0,2,1,8,5,6,2.7,Yes,Female,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Buddhist,No,Mandarin,18,Suburban,Moderate,Primarily heterosexual,Married,24,40,28,27,25,17,12,5,21,17,4,23,14,9,61,3.3,3,2.1,2,0.25,0.625,0.5,0.025,0.025,0.025,0.025,0.025,0.03125,0,0,0.03125,299.1538462,296.7096774,308.625,15,2,4.333333333
107,9,6,1,7,9,5,3.7,No,Female,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Hindu,Yes,Hindi,18,Other,Very liberal,Primarily heterosexual,Married,30,34,29,33,37,13,8,5,21,16,5,21,10,11,55,3,2,3.5,3.5,0.25,0.625,0.5,0.025,0,0.05,0.025,0.025,0,0.125,0,0.03125,322.425,323.46875,318.25,12,8,1.333333333
108,9,2,1,8,8,2,3,Yes,Female,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Muslim,Yes,English,18,Other,Liberal,Prefer not to answer,Divorced,22,38,38,23,38,14,9,5,16,10,6,18,9,9,48,4.2,3.5,3.3,2.7,0.25,0.375,0.333333333,0,0,0,0,0,0,0,0,0,356.1,359.40625,342.875,5,12,-2.333333333
109,8,4,2,7,5,3,3,Yes,Male,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Hindu,Yes,English,18,Other,Prefer not to answer,Primarily heterosexual,Married,17,41,33,26,17,16,11,5,14,9,5,22,13,9,52,2.5,1.7,2.4,3,0.5,0.5,0.5,0.025,0,0.05,0,0.05,0,0,0,0.0625,323.375,325.625,314.375,16,9,2.333333333
110,6,9,7,4,5,4,1.8,No,Male,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Catholic,Yes,English,20,Other,Prefer not to answer,Primarily heterosexual,Never married,25,35,27,27,29,18,11,7,19,14,5,25,17,8,62,3.4,3,3,2.7,0.25,0.625,0.5,0.525,1,0.05,0.8,0.25,1,0,1,0.0625,nan,nan,nan,15,32,-5.666666667
111,9,6,2,9,6,3,0,Yes,Other,African Canadian/Carribean Canadian/Black,Catholic,Yes,English,18,Rural,Prefer not to answer,Primarily bisexual,Separated,29,38,25,28,37,21,10,11,30,21,9,23,14,9,74,3.3,3.1,2.8,2.9,0,0.5,0.333333333,0.425,0.825,0.025,0.675,0.175,0.84375,0,0.75,0.03125,338.2857143,302.6,427.5,10,8,0.666666667
112,9,1,3,7,6,8,3.52,Yes,Male,Caucasian/White,Muslim,Yes,Other,21,Other,Moderate,Primarily heterosexual,Divorced,31,33,28,28,40,20,12,8,27,22,5,21,10,11,68,3.9,3.6,3.5,3.6,1,0.875,0.916666667,0,0,0,0,0,0,0,0,0,385.425,382.9375,395.375,10,5,1.666666667
113,9,1,1,9,9,2,4,No,Male,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Atheist,No,Mandarin,18,Other,Moderate,Primarily heterosexual,Married,22,32,26,11,32,16,11,5,24,19,5,22,13,9,62,3.7,4.1,3.6,3.2,0.75,1,0.916666667,0,0,0,0,0,0,0,0,0,321.6,311.8125,360.75,13,3,3.333333333
114,8,6,2,9,9,6,3.7,Yes,Male,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Muslim,No,Other,18,Suburban,Liberal,Primarily heterosexual,Married,27,41,29,23,34,17,10,7,24,19,5,23,13,10,64,3.1,3.6,3.3,2.9,1,0.75,0.833333333,0.0125,0,0.025,0,0.025,0,0,0,0.03125,304.925,295.46875,342.75,13,9,1.333333333
115,9,2,2,8,8,4,1.9,Yes,Male,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Other,No,Cantonese,19,Urban,Prefer not to answer,Primarily heterosexual,Married,21,30,27,19,35,18,12,6,26,20,6,24,13,11,68,4.1,2.4,3,2.9,0.25,0.625,0.5,0,0,0,0,0,0,0,0,0,296.725,299.59375,285.25,16,13,1
116,8,4,3,9,5,4,2.8,Yes,Male,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Protestant,Yes,English,19,Suburban,Moderate,Primarily heterosexual,Married,22,32,17,26,34,18,13,5,22,17,5,27,17,10,67,2.7,1.9,2.5,3,1,1,1,0,0,0,0,0,0,0,0,0,298.1,298.625,296,16,3,4.333333333
117,8,5,3,4,5,3,2.5,No,Female,Latino/Hispanic,Other Christian(e.g. Orthodox Christian),Yes,Spanish,25,Urban,Prefer not to answer,Primarily heterosexual,Married,26,40,29,35,34,23,15,8,16,11,5,22,14,8,61,3.4,3.6,4.3,3.6,0.5,0.25,0.333333333,0.0125,0,0.025,0,0.025,0,0,0,0.03125,303.975,305.3125,298.625,11,4,2.333333333
118,9,3,2,7,8,3,2.5,No,Female,Latino/Hispanic,Catholic,Yes,Spanish,18,Other,Liberal,Primarily heterosexual,Separated,22,34,27,29,31,13,8,5,11,8,3,21,13,8,45,4.1,3.3,3.2,3,1,0.875,0.916666667,0,0,0,,0,0,0,0,0,339.375,337.59375,346.5,13,8,1.666666667
119,8,6,1,5,5,4,3.5,No,Female,Caucasian/White,Catholic,Yes,Other,19,Small town,Liberal,Primarily heterosexual,Married,34,37,28,24,36,16,9,7,17,14,3,21,13,8,54,3.1,4,2.8,2.8,0.25,0.5,0.416666667,0,0,0,0,0,0,0,0,0,329.175,325.40625,344.25,12,3,3
120,9,5,2,7,8,3,3.5,Yes,Female,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Hindu,Yes,Tamil,18,Suburban,Liberal,Primarily heterosexual,Married,29,43,38,21,41,13,8,5,13,9,4,16,10,6,42,3.6,4.3,2.2,2.5,0.75,0.625,0.666666667,0,0,0,0,0,0,0,0,0,416.8,420.8125,400.75,8,12,-1.333333333
