"parcode","trial","rt","choice","face_val_tot","house_val_tot","face_mult","house_mult","face_bin","house_bin","face_bin_val","house_bin_val"
124,10,6283.61599897,-1,-0.76,-0.36,2,0.5,2,3,-0.72,-0.375
124,11,3816.95781203,1,0.25,0.044,0.5,0.1,6,5,0.12,0
124,13,3016.79535321,-1,-0.4,-0.78,1,1,3,2,-0.375,-0.72
124,14,3933.58139583,-1,-1.76,-0.18,2,0.5,1,4,-1.42,-0.1
124,15,6100.28129714,-1,-0.5,-0.022,0.5,0.1,3,5,-0.375,0
124,16,3000.25952356,1,0.18,0.68,1,1,6,8,0.12,0.72
124,17,4450.2598168,-1,-0.14,-0.62,1,1,4,2,-0.1,-0.72
124,18,2700.27667852,1,0.32,0.058,2,0.1,7,5,0.39,0
124,19,2216.90194849,1,0.42,0.54,1,1,7,8,0.39,0.72
124,20,7883.77743143,1,-0.3,0.002,3,0.1,3,5,-0.375,0
124,21,3316.94974774,1,0.45,-0.034,0.5,0.1,7,5,0.39,0
124,22,10200.3716172,-1,-0.016,-0.25,0.1,0.5,5,3,0,-0.375
124,23,5116.94432267,1,4,-0.48,10,2,99,3,99,-0.375
124,24,5616.82922323,1,-0.15,2.82,0.5,3,4,9,-0.1,1.52
124,26,9333.62047098,-1,0.14,-0.28,1,2,6,3,0.12,-0.375
124,27,3983.4601382,1,-0.21,5.2,0.5,10,4,99,-0.1,99
124,28,5383.46952212,-1,-1.88,0.052,2,0.1,1,5,-1.42,0
124,29,8683.47142822,-1,-6.2,-0.18,10,3,0,4,0,-0.1
124,30,4066.94205001,-1,-0.36,-0.4,0.5,0.5,3,3,-0.375,-0.375
124,31,3550.1342338,1,-0.5,0.5,1,1,3,7,-0.375,0.39
124,32,7850.15666719,-1,0.54,-2,1,10,7,1,0.39,-1.42
124,33,4300.30175112,1,0,-0.78,2,1,5,2,0,-0.72
124,34,3700.27557884,-1,-0.44,-0.22,1,1,3,3,-0.375,-0.375
124,35,3883.59011992,-1,0.11,-0.092,0.5,0.1,6,4,0.12,-0.1
124,36,4016.80085158,-1,-0.96,-1.8,1,2,1,1,-1.42,-1.42
124,37,3633.60624851,1,0.72,7.6,3,10,8,99,0.72,99
124,38,5450.13152125,-1,-0.45,1.08,0.5,2,3,9,-0.375,1.52
124,39,4383.46805588,1,-3.4,8.4,10,10,0,99,0,99
124,40,6216.94446928,1,-0.76,-0.14,1,1,2,4,-0.72,-0.1
124,41,3950.24991971,1,-0.08,1.2,2,2,4,9,-0.1,1.52
124,42,8183.62574943,-1,-0.25,-0.42,0.5,3,3,3,-0.375,-0.375
124,43,6716.9221092,-1,-0.044,-0.24,0.1,0.5,5,3,0,-0.375
124,44,3916.94512909,-1,2.1,-1,3,10,9,1,1.52,-1.42
124,45,3533.4550797,-1,-0.82,-0.086,1,0.1,2,4,-0.72,-0.1
