date, psychopy_version, exp_version, face_version, house_version, subject, block, trial, image, actual_val, input_val, rt, error, total_error, accuracy, min_accuracy
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,0,faceMorph057.jpg,-0.14,0.00,5.141,0.14,0.14,86.00,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,1,houseMorph003.jpg,-0.94,-0.80,4.332,0.14,0.28,86.00,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,2,faceMorph047.jpg,0.06,-0.20,6.143,0.26,0.54,82.00,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,3,houseMorph037.jpg,-0.26,0.00,5.759,0.26,0.80,80.00,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,4,faceMorph093.jpg,-0.86,1.00,5.934,1.86,2.66,46.80,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,5,houseMorph010.jpg,-0.80,-0.70,3.988,0.10,2.76,54.00,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,6,faceMorph037.jpg,0.26,0.45,4.887,0.19,2.95,57.86,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,7,houseMorph046.jpg,-0.08,0.10,8.936,0.18,3.13,60.87,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,8,faceMorph016.jpg,0.68,0.70,3.456,0.02,3.15,65.00,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,9,houseMorph088.jpg,0.76,0.80,2.483,0.04,3.19,68.10,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,10,faceMorph055.jpg,-0.10,0.10,4.700,0.20,3.39,69.18,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,11,houseMorph052.jpg,0.04,0.20,3.046,0.16,3.55,70.42,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,12,faceMorph036.jpg,0.28,0.20,3.816,0.08,3.63,72.08,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,13,houseMorph076.jpg,0.52,0.60,2.631,0.08,3.71,73.50,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,14,faceMorph064.jpg,-0.28,0.05,3.985,0.33,4.04,73.07,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,15,houseMorph076.jpg,0.52,0.40,2.465,0.12,4.16,74.00,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,16,faceMorph046.jpg,0.08,0.15,3.044,0.07,4.23,75.12,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,17,houseMorph012.jpg,-0.76,-0.55,4.792,0.21,4.44,75.33,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,18,faceMorph085.jpg,-0.70,-0.80,3.046,0.10,4.54,76.11,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,1,19,houseMorph006.jpg,-0.88,-0.85,5.708,0.03,4.57,77.15,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,0,faceMorph043.jpg,0.14,0.80,7.772,0.66,0.66,34.00,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,1,houseMorph009.jpg,-0.82,-0.70,7.317,0.12,0.78,61.00,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,2,faceMorph084.jpg,-0.68,-0.80,4.377,0.12,0.90,70.00,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,3,houseMorph090.jpg,0.80,0.90,3.363,0.10,1.00,75.00,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,4,faceMorph090.jpg,-0.80,-0.85,5.398,0.05,1.05,79.00,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,5,houseMorph029.jpg,-0.42,-0.20,4.009,0.22,1.27,78.83,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,6,faceMorph060.jpg,-0.20,0.00,4.261,0.20,1.47,79.00,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,7,houseMorph076.jpg,0.52,0.60,2.962,0.08,1.55,80.62,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,8,faceMorph022.jpg,0.56,0.85,5.581,0.29,1.84,79.56,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,9,houseMorph091.jpg,0.82,0.85,2.209,0.03,1.87,81.30,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,10,faceMorph086.jpg,-0.72,-0.75,4.594,0.03,1.90,82.73,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,11,houseMorph005.jpg,-0.90,-0.73,5.100,0.17,2.07,82.75,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,12,faceMorph079.jpg,-0.58,-0.70,4.028,0.12,2.19,83.15,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,13,houseMorph090.jpg,0.80,0.85,2.768,0.05,2.24,84.00,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,14,faceMorph016.jpg,0.68,0.80,5.900,0.12,2.36,84.27,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,15,houseMorph073.jpg,0.46,0.60,3.760,0.14,2.50,84.38,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,16,faceMorph026.jpg,0.48,0.70,3.096,0.22,2.72,84.00,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,17,houseMorph019.jpg,-0.62,-0.35,5.348,0.27,2.99,83.39,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,18,faceMorph041.jpg,0.18,0.20,3.538,0.02,3.01,84.16,80.00
2019_Feb_06_1043,3.0.2,3.0.1,1,0,998,2,19,houseMorph041.jpg,-0.18,0.00,3.876,0.18,3.19,84.05,80.00
